v		Shortest distance to Vertex n
0		{ 0  5  12  10  8  17  10  15  20  6  16  10  5  32  20 }
1		{ 5  0  7  15  3  12  5  10  19  11  11  5  10  30  15 }
2		{ 12  7  0  22  10  5  12  3  12  18  15  12  17  23  8 }
3		{ 10  15  22  0  18  25  20  25  18  4  26  20  13  30  28 }
4		{ 8  3  10  18  0  15  2  13  22  14  8  2  13  27  15 }
5		{ 17  12  5  25  15  0  16  4  7  21  10  17  22  18  3 }
6		{ 10  5  12  20  2  16  0  15  23  16  6  4  15  25  13 }
7		{ 15  10  3  25  13  4  15  0  9  21  13  15  20  21  6 }
8		{ 20  19  12  18  22  7  23  9  0  14  17  24  25  12  10 }
9		{ 6  11  18  4  14  21  16  21  14  0  22  16  11  26  24 }
10		{ 16  11  15  26  8  10  6  13  17  22  0  10  21  19  7 }
11		{ 10  5  12  20  2  17  4  15  24  16  10  0  15  29  17 }
12		{ 5  10  17  13  13  22  15  20  25  11  21  15  0  37  25 }
13		{ 32  30  23  30  27  18  25  21  12  26  19  29  37  0  15 }
14		{ 20  15  8  28  15  3  13  6  10  24  7  17  25  15  0 }
total time to calculate: 0.2077553secs
